command,domain,validation,authorization,expected_result,published_events
ApproveEnrollment,Enrollment,"Aggregate exists in state [pending]; Student, offering, capacity and commercial/administrative requirements valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [approved] or returns a stable business error without partial change.,EnrollmentStateChanged (approved); AuditRecorded when command is privileged or academically consequential
ActivateEnrollment,Enrollment,Aggregate exists in state [approved]; Access dates valid and offering eligible; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [active] or returns a stable business error without partial change.,EnrollmentActivated; AuditRecorded when command is privileged or academically consequential
CancelEnrollment,Enrollment,Aggregate exists in state [pending/approved]; No protected activity requiring withdrawal path; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [cancelled] or returns a stable business error without partial change.,EnrollmentStateChanged (cancelled); AuditRecorded when command is privileged or academically consequential
SuspendEnrollment,Enrollment,Aggregate exists in state [active]; Authorized reason recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [suspended] or returns a stable business error without partial change.,EnrollmentStateChanged (suspended); AuditRecorded when command is privileged or academically consequential
ResumeEnrollment,Enrollment,Aggregate exists in state [suspended]; Eligibility and time window valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [active] or returns a stable business error without partial change.,EnrollmentStateChanged (active); AuditRecorded when command is privileged or academically consequential
CompleteEnrollment,Enrollment,Aggregate exists in state [active]; Completion policy satisfied or authorized completion; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [completed] or returns a stable business error without partial change.,EnrollmentCompleted; AuditRecorded when command is privileged or academically consequential
WithdrawEnrollment,Enrollment,Aggregate exists in state [active/suspended]; Reason and effective date recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [withdrawn] or returns a stable business error without partial change.,EnrollmentStateChanged (withdrawn); AuditRecorded when command is privileged or academically consequential
ExpireEnrollment,Enrollment,Aggregate exists in state [active/suspended]; Server time beyond access end or policy trigger; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [expired] or returns a stable business error without partial change.,EnrollmentStateChanged (expired); AuditRecorded when command is privileged or academically consequential
TransferEnrollment,Enrollment,Aggregate exists in state [active/suspended]; Target offering approved and lineage created; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [transferred] or returns a stable business error without partial change.,EnrollmentStateChanged (transferred); AuditRecorded when command is privileged or academically consequential
CreateRetakeEnrollment,Enrollment,Aggregate exists in state [expired/withdrawn/completed]; Retake policy and target offering valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; automated expiry service for time-based transitions,Aggregate transitions to [terminal + new pending enrollment] or returns a stable business error without partial change.,RetakeEnrollmentCreated; AuditRecorded when command is privileged or academically consequential
AcceptPriorBaseline,Preparation Journey,Aggregate exists in state [baseline_pending]; Approved prior evidence meets waiver policy; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [path_generation_pending] or returns a stable business error without partial change.,PreparationJourneyStateChanged (path_generation_pending); AuditRecorded when command is privileged or academically consequential
CompleteDiagnostic,Preparation Journey,Aggregate exists in state [diagnostic_in_progress]; Valid diagnostic evidence and report generated; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [path_generation_pending] or returns a stable business error without partial change.,DiagnosticCompleted; AuditRecorded when command is privileged or academically consequential
AssignLearningPath,Preparation Journey,Aggregate exists in state [path_generation_pending]; Path entry classification approved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [foundation_building/skill_development] or returns a stable business error without partial change.,LearningPathAssigned; AuditRecorded when command is privileged or academically consequential
AdvanceJourneyStage,Preparation Journey,Aggregate exists in state [foundation_building]; Foundation exit criteria satisfied; request is idempotent where externally repeatable; referenced versions and academy scope are valid. Alternative valid transition: Aggregate exists in state [skill_development]; Competency and activity thresholds satisfied; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [skill_development] or returns a stable business error without partial change. Alternative result: Aggregate transitions to [exam_focused_preparation] or returns a stable business error without partial change.,PreparationJourneyStateChanged (skill_development); AuditRecorded when command is privileged or academically consequential
ScheduleOfficialExam,Preparation Journey,Aggregate exists in state [target_ready]; Exam date recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [exam_scheduled] or returns a stable business error without partial change.,PreparationJourneyStateChanged (exam_scheduled); AuditRecorded when command is privileged or academically consequential
RecordExamTaken,Preparation Journey,Aggregate exists in state [exam_scheduled]; Exam occurrence confirmed; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [exam_taken] or returns a stable business error without partial change.,PreparationJourneyStateChanged (exam_taken); AuditRecorded when command is privileged or academically consequential
AwaitOfficialResult,Preparation Journey,Aggregate exists in state [exam_taken]; Result not yet available; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [result_pending] or returns a stable business error without partial change.,PreparationJourneyStateChanged (result_pending); AuditRecorded when command is privileged or academically consequential
RecordOfficialResult,Preparation Journey,Aggregate exists in state [result_pending]; Official result submitted/verified per policy; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [outcome_review] or returns a stable business error without partial change.,OfficialResultRecorded; AuditRecorded when command is privileged or academically consequential
CompleteJourney,Preparation Journey,Aggregate exists in state [outcome_review]; Outcome reviewed and closure decision recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [completed] or returns a stable business error without partial change.,PreparationJourneyStateChanged (completed); AuditRecorded when command is privileged or academically consequential
PlanRetake,Preparation Journey,Aggregate exists in state [outcome_review]; Target not achieved or new target set; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [retake_planned] or returns a stable business error without partial change.,PreparationJourneyStateChanged (retake_planned); AuditRecorded when command is privileged or academically consequential
PauseJourney,Preparation Journey,Aggregate exists in state [any_active]; Reason and resumption plan recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [paused] or returns a stable business error without partial change.,PreparationJourneyStateChanged (paused); AuditRecorded when command is privileged or academically consequential
ResumeJourney,Preparation Journey,"Aggregate exists in state [paused]; Goal, enrollment and plan remain valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [previous_or_recalculated_stage] or returns a stable business error without partial change.,PreparationJourneyStateChanged (previous_or_recalculated_stage); AuditRecorded when command is privileged or academically consequential
MarkJourneyAtRisk,Preparation Journey,Aggregate exists in state [any_active]; Explainable risk trigger exists; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [at_risk] or returns a stable business error without partial change.,PreparationJourneyStateChanged (at_risk); AuditRecorded when command is privileged or academically consequential
ResolveJourneyRisk,Preparation Journey,Aggregate exists in state [at_risk]; Intervention outcome and recalculation complete; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [previous_or_recalculated_stage] or returns a stable business error without partial change.,PreparationJourneyStateChanged (previous_or_recalculated_stage); AuditRecorded when command is privileged or academically consequential
AbandonJourney,Preparation Journey,Aggregate exists in state [any_non_terminal]; Authorized closure reason recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Authorized student for permitted self-service; Instructor/Student Success Officer/Administrator for governed transitions,Aggregate transitions to [abandoned] or returns a stable business error without partial change.,PreparationJourneyStateChanged (abandoned); AuditRecorded when command is privileged or academically consequential
ActivateGoal,Goal Management,"Aggregate exists in state [draft]; Exam product, score scale and target values valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Student or assigned Instructor/Student Success Officer; Administrator for policy exceptions,Aggregate transitions to [active] or returns a stable business error without partial change.,ExamGoalActivated; AuditRecorded when command is privileged or academically consequential
ReviseGoal,Goal Management,Aggregate exists in state [active]; Material change valid and impact analysis queued; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student or assigned Instructor/Student Success Officer; Administrator for policy exceptions,Aggregate transitions to [superseded + new active version] or returns a stable business error without partial change.,GoalVersionActivated; AuditRecorded when command is privileged or academically consequential
PauseGoal,Goal Management,Aggregate exists in state [active]; Journey treatment defined; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student or assigned Instructor/Student Success Officer; Administrator for policy exceptions,Aggregate transitions to [paused] or returns a stable business error without partial change.,GoalStateChanged (paused); AuditRecorded when command is privileged or academically consequential
ResumeGoal,Goal Management,Aggregate exists in state [paused]; Target remains feasible or revised; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student or assigned Instructor/Student Success Officer; Administrator for policy exceptions,Aggregate transitions to [active] or returns a stable business error without partial change.,GoalStateChanged (active); AuditRecorded when command is privileged or academically consequential
MarkGoalAchieved,Goal Management,Aggregate exists in state [active]; Verified result or approved target evidence satisfies goal; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student or assigned Instructor/Student Success Officer; Administrator for policy exceptions,Aggregate transitions to [achieved] or returns a stable business error without partial change.,GoalStateChanged (achieved); AuditRecorded when command is privileged or academically consequential
MarkGoalMissed,Goal Management,Aggregate exists in state [active]; Outcome evaluated below defined target; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student or assigned Instructor/Student Success Officer; Administrator for policy exceptions,Aggregate transitions to [missed] or returns a stable business error without partial change.,GoalStateChanged (missed); AuditRecorded when command is privileged or academically consequential
CancelGoal,Goal Management,Aggregate exists in state [draft/active/paused]; Reason and journey disposition recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student or assigned Instructor/Student Success Officer; Administrator for policy exceptions,Aggregate transitions to [cancelled] or returns a stable business error without partial change.,GoalStateChanged (cancelled); AuditRecorded when command is privileged or academically consequential
ProposeLearningPath,Learning Path,"Aggregate exists in state [generating]; Baseline, goal and curriculum resolved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.","Instructor, Academic Reviewer or authorized planning service; Student for permitted pause/resume",Aggregate transitions to [proposed] or returns a stable business error without partial change.,LearningPathStateChanged (proposed); AuditRecorded when command is privileged or academically consequential
ApproveLearningPath,Learning Path,Aggregate exists in state [proposed]; Academic rules and access checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Instructor, Academic Reviewer or authorized planning service; Student for permitted pause/resume",Aggregate transitions to [active] or returns a stable business error without partial change.,LearningPathStateChanged (active); AuditRecorded when command is privileged or academically consequential
PauseLearningPath,Learning Path,Aggregate exists in state [active]; Reason recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Instructor, Academic Reviewer or authorized planning service; Student for permitted pause/resume",Aggregate transitions to [paused] or returns a stable business error without partial change.,LearningPathStateChanged (paused); AuditRecorded when command is privileged or academically consequential
ResumeLearningPath,Learning Path,Aggregate exists in state [paused]; Path remains compatible or revised; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Instructor, Academic Reviewer or authorized planning service; Student for permitted pause/resume",Aggregate transitions to [active] or returns a stable business error without partial change.,LearningPathStateChanged (active); AuditRecorded when command is privileged or academically consequential
ReviseLearningPath,Learning Path,Aggregate exists in state [active]; Material evidence/goal/curriculum change; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Instructor, Academic Reviewer or authorized planning service; Student for permitted pause/resume",Aggregate transitions to [superseded + new active revision] or returns a stable business error without partial change.,LearningPathRevised; AuditRecorded when command is privileged or academically consequential
CompleteLearningPath,Learning Path,Aggregate exists in state [active]; Required steps complete or approved equivalence; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Instructor, Academic Reviewer or authorized planning service; Student for permitted pause/resume",Aggregate transitions to [completed] or returns a stable business error without partial change.,LearningPathStateChanged (completed); AuditRecorded when command is privileged or academically consequential
CancelLearningPath,Learning Path,Aggregate exists in state [proposed/active/paused]; Journey closure or replacement path exists; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Instructor, Academic Reviewer or authorized planning service; Student for permitted pause/resume",Aggregate transitions to [cancelled] or returns a stable business error without partial change.,LearningPathStateChanged (cancelled); AuditRecorded when command is privileged or academically consequential
SubmitAssessmentForReview,Assessment Definition,Aggregate exists in state [draft]; Required metadata and blueprint present; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [internal_review] or returns a stable business error without partial change.,AssessmentStateChanged (internal_review); AuditRecorded when command is privileged or academically consequential
PassInternalReview,Assessment Definition,Aggregate exists in state [internal_review]; Structural validation passes; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [academic_review] or returns a stable business error without partial change.,AssessmentStateChanged (academic_review); AuditRecorded when command is privileged or academically consequential
ApproveAcademicReview,Assessment Definition,Aggregate exists in state [academic_review]; Academic accuracy and alignment pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [quality_assurance] or returns a stable business error without partial change.,AssessmentStateChanged (quality_assurance); AuditRecorded when command is privileged or academically consequential
PassQualityAssurance,Assessment Definition,"Aggregate exists in state [quality_assurance]; Technical, accessibility and security validation pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [pilot_testing/approval] or returns a stable business error without partial change.,AssessmentStateChanged (pilot_testing/approval); AuditRecorded when command is privileged or academically consequential
CompletePilot,Assessment Definition,Aggregate exists in state [pilot_testing]; Pilot criteria and issue resolution pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [approval] or returns a stable business error without partial change.,AssessmentStateChanged (approval); AuditRecorded when command is privileged or academically consequential
ApproveAssessment,Assessment Definition,Aggregate exists in state [approval]; Authorized approver accepts package; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [approved] or returns a stable business error without partial change.,AssessmentStateChanged (approved); AuditRecorded when command is privileged or academically consequential
PublishAssessment,Assessment Definition,"Aggregate exists in state [approved]; Effective date, dependencies and form validation pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [published] or returns a stable business error without partial change.,AssessmentVersionPublished; AuditRecorded when command is privileged or academically consequential
RetireAssessment,Assessment Definition,Aggregate exists in state [published]; No new deliveries; history preserved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [retired] or returns a stable business error without partial change.,AssessmentStateChanged (retired); AuditRecorded when command is privileged or academically consequential
WithdrawAssessment,Assessment Definition,Aggregate exists in state [published]; Critical defect and impact workflow opened; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [withdrawn] or returns a stable business error without partial change.,AssessmentStateChanged (withdrawn); AuditRecorded when command is privileged or academically consequential
ArchiveAssessment,Assessment Definition,Aggregate exists in state [retired/withdrawn]; Retention and operational checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft submission; Academic Reviewer for review; Administrator/Super Administrator for approval/publication,Aggregate transitions to [archived] or returns a stable business error without partial change.,AssessmentStateChanged (archived); AuditRecorded when command is privileged or academically consequential
SubmitSimulationForFidelityReview,Exam Simulation,Aggregate exists in state [draft]; Policy pack and form/module configuration complete; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [fidelity_review] or returns a stable business error without partial change.,SimulationStateChanged (fidelity_review); AuditRecorded when command is privileged or academically consequential
ApproveSimulationFidelity,Exam Simulation,Aggregate exists in state [fidelity_review]; Exam behaviour matches specification; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [quality_assurance] or returns a stable business error without partial change.,SimulationStateChanged (quality_assurance); AuditRecorded when command is privileged or academically consequential
PassSimulationQA,Exam Simulation,"Aggregate exists in state [quality_assurance]; Timing, media, tools, routing and recovery pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [pilot_testing/approval] or returns a stable business error without partial change.,SimulationStateChanged (pilot_testing/approval); AuditRecorded when command is privileged or academically consequential
CompleteSimulationPilot,Exam Simulation,Aggregate exists in state [pilot_testing]; Pilot thresholds met; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [approval] or returns a stable business error without partial change.,SimulationStateChanged (approval); AuditRecorded when command is privileged or academically consequential
ApproveSimulation,Exam Simulation,Aggregate exists in state [approval]; Academic and operational approval; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [approved] or returns a stable business error without partial change.,SimulationStateChanged (approved); AuditRecorded when command is privileged or academically consequential
PublishSimulation,Exam Simulation,Aggregate exists in state [approved]; Dependencies effective and capacity policy configured; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [published] or returns a stable business error without partial change.,SimulationPublished; AuditRecorded when command is privileged or academically consequential
ScheduleSimulation,Exam Simulation,Published simulation; offering/audience/time/capacity valid.,Administrator or Instructor within scope,Simulation delivery scheduled.,SimulationScheduled
OpenSimulation,Exam Simulation,Aggregate exists in state [scheduled]; Start time reached or authorized open; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [open] or returns a stable business error without partial change.,SimulationStateChanged (open); AuditRecorded when command is privileged or academically consequential
StartSimulationSession,Exam Simulation,"Aggregate exists in state [open]; Eligibility, attempt and device checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [active] or returns a stable business error without partial change.,SimulationStateChanged (active); AuditRecorded when command is privileged or academically consequential
SubmitSimulationSession,Exam Simulation,Aggregate exists in state [active]; All required sections closed or policy permits; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [grading] or returns a stable business error without partial change.,SimulationCompleted; AuditRecorded when command is privileged or academically consequential
ReleaseSimulationResult,Exam Simulation,Aggregate exists in state [grading]; Effective grade and incident review complete; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [released] or returns a stable business error without partial change.,SimulationStateChanged (released); AuditRecorded when command is privileged or academically consequential
CompleteSimulationSession,Exam Simulation,Aggregate exists in state [released]; Result delivered and evidence recorded; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [completed] or returns a stable business error without partial change.,SimulationStateChanged (completed); AuditRecorded when command is privileged or academically consequential
CancelSimulation,Exam Simulation,Aggregate exists in state [scheduled/open/active]; Authorized operational reason; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [cancelled] or returns a stable business error without partial change.,SimulationStateChanged (cancelled); AuditRecorded when command is privileged or academically consequential
InvalidateSimulationSession,Exam Simulation,Aggregate exists in state [active]; Integrity/technical incident decision; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definition; Student for own session commands; Platform Operations for incident automation,Aggregate transitions to [invalidated] or returns a stable business error without partial change.,SimulationStateChanged (invalidated); AuditRecorded when command is privileged or academically consequential
SaveSubmissionDraft,Submission & Grading,Aggregate exists in state [draft]; Authorized owner and valid format; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [draft] or returns a stable business error without partial change.,SubmissionStateChanged (draft); AuditRecorded when command is privileged or academically consequential
SubmitWork,Submission & Grading,"Aggregate exists in state [draft]; Idempotency, eligibility and content validation pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [received] or returns a stable business error without partial change.,SubmissionAccepted; AuditRecorded when command is privileged or academically consequential
ValidateSubmission,Submission & Grading,"Aggregate exists in state [received]; Asset scan, type, ownership and completeness pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [validated] or returns a stable business error without partial change.,SubmissionStateChanged (validated); AuditRecorded when command is privileged or academically consequential
QueueSubmissionForGrading,Submission & Grading,Aggregate exists in state [validated]; Applicable rubric and grading policy resolved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [queued] or returns a stable business error without partial change.,SubmissionStateChanged (queued); AuditRecorded when command is privileged or academically consequential
StartGrading,Submission & Grading,Aggregate exists in state [queued]; Worker obtains lease and approved versions; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [grading] or returns a stable business error without partial change.,SubmissionStateChanged (grading); AuditRecorded when command is privileged or academically consequential
CompleteGrading,Submission & Grading,Aggregate exists in state [grading]; Structured output or human result validates; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [graded] or returns a stable business error without partial change.,SubmissionStateChanged (graded); AuditRecorded when command is privileged or academically consequential
RequestReview,Submission & Grading,Aggregate exists in state [graded]; Policy or confidence requires review; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [review_pending] or returns a stable business error without partial change.,SubmissionStateChanged (review_pending); AuditRecorded when command is privileged or academically consequential
FinalizeGradeDecision,Submission & Grading,Aggregate exists in state [graded/review_pending]; Required review complete or auto-release allowed; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [finalized] or returns a stable business error without partial change.,SubmissionStateChanged (finalized); AuditRecorded when command is privileged or academically consequential
