rule_id,category,description,reason,priority,affected_domains,expected_behavior
ENR-002,Enrollment,Enrollment must reference an exact CourseOffering and pinned CourseVersion.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Historical learning and assessment context must remain reproducible after later course changes.
ENR-003,Enrollment,A student may not have duplicate active enrollments for the same offering unless a documented retake policy permits it.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",High,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Activation must detect conflicts and require an explicit retake or transfer route.
ENR-004,Enrollment,Enrollment activation requires an active student relationship and eligible offering.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Invalid activation must fail atomically without partial entitlement.
ENR-005,Enrollment,Enrollment access dates must form a coherent interval.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",High,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,End dates earlier than start dates or outside permitted offering policy must be rejected.
ENR-006,Enrollment,Suspension must immediately block new activity while preserving prior evidence.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Existing history remains readable according to policy; new attempts and content access are denied.
ENR-007,Enrollment,Completion must be distinguished from expiry and withdrawal.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",High,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Reports and subsequent journey rules must use the actual terminal reason.
ENR-008,Enrollment,"Withdrawal requires actor, effective time and reason.","Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",High,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,The transition must be audited and pending attempts handled by policy.
ENR-009,Enrollment,Transfer must close or supersede the source enrollment and create a target enrollment without losing lineage.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",High,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,The platform must preserve relationship between source and target records.
ENR-010,Enrollment,"An enrollment with attempts, evidence or grades must not be hard-deleted.","Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,It may be archived or status-changed while academic records remain referentially intact.
ENR-011,Enrollment,Enrollment data must be academy-scoped.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,No user or staff member may access an enrollment outside authorized academy scope.
ENR-012,Enrollment,The active curriculum context must be pinned at activation.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Later curriculum publications must not silently move existing students.
ENR-013,Enrollment,Expiration must be determined by server time and explicit policy.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",High,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Expired access must close consistently regardless of client clock.
ENR-014,Enrollment,Retake enrollment must reference the previous journey or outcome where relevant.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Medium,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,The new journey may reuse permitted history while remaining analytically distinct.
ENR-015,Enrollment,Enrollment transitions must follow the approved state machine.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Direct arbitrary status updates must be rejected.
ENR-016,Enrollment,Bulk enrollment must apply the same validations as individual enrollment.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,A bulk job must report per-record failures and avoid bypassing capacity or access rules.
ENR-017,Enrollment,"Course access must be verified on every protected command, not only at login.","Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Stale navigation or guessed identifiers must not bypass entitlement.
ENR-018,Enrollment,A student’s simultaneous enrollments must remain context-isolated.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",High,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,"Attempts, goals, recommendations and readiness must resolve through the selected enrollment/journey."
CRS-001,Course,"Course, ExamProduct and CourseOffering must remain separate concepts.","Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Critical,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Creation and reporting interfaces must require explicit relationships rather than overloaded records.
CRS-002,Course,A course must belong to one academy or an explicitly governed global catalogue.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Critical,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Ownership and publication rights must be unambiguous.
CRS-003,Course,A course version must reference an applicable ExamProductVersion.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",High,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Exam-specific features and score semantics must resolve through the pinned specification.
CRS-004,Course,Published course versions are immutable.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Critical,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Material changes require a new version and migration decision.
CRS-005,Course,A course version must declare its enabled preparation capabilities.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",High,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,"Workspace composition must use approved typed capabilities, not hard-coded exam names."
CRS-006,Course,A course version must reference one approved curriculum version before publication.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Critical,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Publication must fail if the curriculum is missing or unapproved.
CRS-007,Course,Course offerings must reference exactly one course version.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Critical,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Students in an offering must share a reproducible academic definition.
CRS-008,Course,Offering schedules and access policies must be explicit.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",High,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,"Open, active and closed states must derive from approved dates and commands."
CRS-009,Course,Course retirement must not invalidate existing enrollments or historical attempts.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Critical,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,New offerings are blocked while retained records remain resolvable.
CRS-010,Course,Course codes must be unique within their defined academy/catalogue scope.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Medium,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Duplicate codes must be rejected or resolved through explicit namespace.
CRS-011,Course,Course prerequisites must be representable and acyclic.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",High,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Publication must detect circular prerequisite dependencies.
CRS-012,Course,Course competency coverage must be reviewable before publication.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",High,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,The platform must expose missing or weakly covered target competencies.
CRS-013,Course,Capabilities unsupported by the pinned exam specification must not be enabled without an extension policy.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",High,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Configuration validation must reject incompatible combinations.
CRS-014,Course,"Offering capacity, where configured, must be enforced consistently.","Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Medium,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Activation beyond capacity requires authorized override and audit.
CRS-015,Course,Course metadata intended for discovery must be separated from operational offering data.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Medium,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Marketing edits must not alter active cohort schedules or academic versions.
CRS-016,Course,Course duplication must create new identities and preserve provenance.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Medium,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Copied versions may be edited in draft but must not share mutable child records.
CRS-017,Course,Course publishing must pass academic and technical validation.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Critical,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,"Approval, required mappings, assets and capability contracts must be complete."
CRS-018,Course,Course deletion is permitted only for unused drafts.,"Keep courses reusable, versioned and aligned to examination specifications without confusing products, cohorts or entitlements.",Critical,Course & Offering; Exam Product & Specification; Learning Content; Competency Framework,Used or published courses must be retired or archived.
JRN-001,Preparation Journey,A PreparationJourney requires an active or eligible enrollment and a goal context.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Critical,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Journey creation must fail when entitlement or goal prerequisites are absent.
JRN-002,Preparation Journey,A journey must represent one primary exam objective at a time.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Critical,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Competing primary goals require separate journeys or an explicit superseding goal version.
JRN-003,Preparation Journey,Journey stage must not be inferred solely from course completion.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",High,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,"Stage transitions must consider baseline, mastery, readiness and approved rules."
JRN-004,Preparation Journey,A journey must retain its originating enrollment and exam specification context.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Critical,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Later offering or product changes must not rewrite historical context.
JRN-005,Preparation Journey,Only one active primary journey may exist for the same enrollment and exam goal unless a retake branch is approved.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",High,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Duplicate creation must be prevented or linked as a distinct branch.
JRN-006,Preparation Journey,Diagnostic requirements must be evaluated when a journey is created.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",High,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,The journey must enter baseline_pending or use approved prior evidence.
JRN-007,Preparation Journey,Journey transitions must follow the canonical state machine.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Critical,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Unsupported direct state changes must be rejected.
JRN-008,Preparation Journey,"A paused journey must preserve plan, evidence and readiness history.","Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",High,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Resumption must recalculate time-sensitive plans and recommendations.
JRN-009,Preparation Journey,Changing the active goal version must trigger journey impact analysis.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Critical,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,"Readiness, path and plan must be recalculated or marked stale."
JRN-010,Preparation Journey,Journey snapshots must be immutable and model-version aware.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",High,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,"Each snapshot must identify current goal, path, plan, readiness and effective time."
JRN-011,Preparation Journey,Journey completion requires an explicit outcome or closure reason.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",High,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,A course ending alone must not automatically complete the journey.
JRN-012,Preparation Journey,A retake journey must reference the preceding journey and official outcome where available.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Medium,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Prior evidence may be reused only under declared recency and comparability rules.
JRN-013,Preparation Journey,A journey may continue after course completion if entitlement policy allows preparation access.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Medium,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Access extension must be explicit and not implied by journey status.
JRN-014,Preparation Journey,A journey cannot be marked target-ready without a current readiness snapshot meeting policy.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Critical,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,"The transition must cite readiness model, confidence and evidence boundary."
JRN-015,Preparation Journey,A journey at risk must remain actionable rather than terminal.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",High,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Student Success must receive a signal and intervention eligibility.
JRN-016,Preparation Journey,Journey data must remain isolated from other enrollments of the same student.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Critical,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,Commands and projections must require journey context.
JRN-017,Preparation Journey,Journey closure must not delete academic evidence.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Critical,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,"Evidence, outcomes and audit history remain retained."
JRN-018,Preparation Journey,Journey stage labels must be product-neutral and configurable only through governed mappings.,"Maintain one coherent, auditable context for a learner’s progress toward a defined examination outcome.",Medium,Preparation Journey; Goal Management; Enrollment; Diagnostic Assessment; Learning Path,UI wording may vary by exam product while canonical meanings remain stable.
GOL-001,Goals,Every active preparation journey must have one active primary ExamGoal.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Critical,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,A journey without a goal remains in goal_definition_pending and cannot claim readiness.
GOL-002,Goals,Goal scores must use the native ScoreScale of the selected exam product version.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Critical,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Invalid or cross-scale target values must be rejected.
GOL-003,Goals,Section targets may supplement but not contradict the overall target policy.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",High,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Validation must apply exam-specific aggregation rules.
GOL-004,Goals,Material goal changes must create a new GoalVersion.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Critical,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Previous predictions and plans must retain the target against which they were calculated.
GOL-005,Goals,"A target exam date may be unknown, but readiness-date claims must then be limited.","Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Medium,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,The platform must disclose missing date constraints rather than invent urgency.
GOL-006,Goals,Available weekly study hours must be non-negative and plausibly bounded.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Medium,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Outlier values require confirmation and must not create unsafe schedules.
GOL-007,Goals,Previous official attempts must be recorded separately from self-declared weak areas.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",High,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Evidence provenance and verification status must remain visible.
GOL-008,Goals,A goal may be revised only by the student or authorized staff under policy.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",High,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Sponsor suggestions do not directly alter the learner’s goal.
GOL-009,Goals,Goal activation must trigger baseline and plan evaluation.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",High,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,"Dependent projections are created, recalculated or marked pending."
GOL-010,Goals,Superseded goal versions remain immutable and historically resolvable.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Critical,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Past readiness and recommendation decisions must retain their original target.
GOL-011,Goals,Goal achievement must be evaluated against a verified result or approved proxy policy.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",High,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,The system must not mark achievement from an unrelated practice score.
GOL-012,Goals,Target not achieved must not be stored as a universal examination failure.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",High,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Outcome wording must compare result with the defined goal.
GOL-013,Goals,Cancelled goals require a reason and journey disposition decision.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Medium,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,"The journey must be paused, closed or linked to a replacement goal."
GOL-014,Goals,Institutional requirements must be distinguishable from personal targets.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Medium,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Reports must identify target source and applicable section thresholds.
GOL-015,Goals,Goal dates must respect relevant application deadlines where configured.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Medium,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Planning must surface conflicts rather than silently schedule beyond deadlines.
GOL-016,Goals,Goals must not expose sponsor-only or staff-only notes to students without policy.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",High,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Field-level visibility applies to contextual notes.
GOL-017,Goals,"Goal confidence or feasibility advice must be presented as guidance, not guarantee.","Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",High,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,Predictions must include uncertainty and assumptions.
GOL-018,Goals,A goal change affecting an active simulation must not alter that simulation’s fixed scoring context.,"Make target outcomes explicit, versioned and usable by readiness, planning and recommendations.",Critical,Goal Management; Preparation Journey; Exam Product & Specification; Study Planning,The new goal applies to subsequent readiness analysis only.
DGN-001,Diagnostics,A diagnostic must declare the competencies and score claims it is designed to support.,Establish a defensible baseline and gap analysis before personalized preparation.,Critical,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Publication must fail when declared outputs exceed blueprint coverage.
DGN-002,Diagnostics,Diagnostic delivery must reuse the common assessment and attempt kernel.,Establish a defensible baseline and gap analysis before personalized preparation.,Critical,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,No separate response or submission store may be created.
DGN-003,Diagnostics,A diagnostic assignment must be tied to a PreparationJourney.,Establish a defensible baseline and gap analysis before personalized preparation.,Critical,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Results must not float outside a goal and enrollment context.
DGN-004,Diagnostics,Only eligible enrolled students may start an assigned diagnostic.,Establish a defensible baseline and gap analysis before personalized preparation.,Critical,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Authorization and timing are validated server-side.
DGN-005,Diagnostics,A completed diagnostic must create traceable AcademicEvidence before baseline interpretation.,Establish a defensible baseline and gap analysis before personalized preparation.,Critical,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Gap analysis may not rely on unlinked aggregate scores.
DGN-006,Diagnostics,Diagnostic reports must disclose evidence coverage and confidence.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Insufficient coverage must be shown rather than converted into precise placement.
DGN-007,Diagnostics,Prior official results may supplement but not silently replace required diagnostic evidence.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Waiver or reduced diagnostic policy must be explicit and audited.
DGN-008,Diagnostics,Diagnostic answer keys and explanations follow configured release policy.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Students must not receive protected answers before completion or approval.
DGN-009,Diagnostics,Diagnostic retesting must apply a recency and item-exposure policy.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Repeated attempts must not artificially inflate baseline confidence.
DGN-010,Diagnostics,A diagnostic result must not permanently label a student.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,"Newer, stronger evidence can supersede the baseline."
DGN-011,Diagnostics,Gap analysis entries must map to versioned competencies.,Establish a defensible baseline and gap analysis before personalized preparation.,Critical,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Free-text weaknesses may supplement but not replace canonical mappings.
DGN-012,Diagnostics,Diagnostic scoring must use the exam product’s applicable scale or a clearly identified internal scale.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Displayed estimates must not be confused with official results.
DGN-013,Diagnostics,A diagnostic form must pass item and competency coverage validation.,Establish a defensible baseline and gap analysis before personalized preparation.,Critical,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,"The form must be rejected if required skills, difficulty or sections are missing."
DGN-014,Diagnostics,Diagnostic interruption and invalidation rules must be explicit.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Incomplete evidence cannot be treated as complete without policy.
DGN-015,Diagnostics,Low-confidence constructed-response diagnostic grades must enter review where required.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Baseline generation waits for effective grade decisions.
DGN-016,Diagnostics,Diagnostic completion must trigger path and readiness eligibility evaluation.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Downstream generation occurs asynchronously and idempotently.
DGN-017,Diagnostics,Diagnostic reports must be immutable once released.,Establish a defensible baseline and gap analysis before personalized preparation.,High,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Corrections create a superseding report with reason.
DGN-018,Diagnostics,Diagnostic data must remain distinguishable from ordinary practice and simulation evidence.,Establish a defensible baseline and gap analysis before personalized preparation.,Medium,Diagnostic Assessment; Assessment Definition; Academic Evidence; Competency Framework; Learning Path,Evidence source type and fidelity weight must be preserved.
PRC-001,Practice,Adaptive practice must define an explicit practice objective before selecting items.,"Optimize learning through controlled, evidence-driven selection rather than random item delivery.",Critical,Adaptive Practice; Question Bank; Mastery; Recommendation Engine; Examination Delivery,"Session creation records target competencies, desired evidence and available duration."
PRC-002,Practice,Selection must use only approved and eligible QuestionVersions.,"Optimize learning through controlled, evidence-driven selection rather than random item delivery.",Critical,Adaptive Practice; Question Bank; Mastery; Recommendation Engine; Examination Delivery,"Draft, retired, withdrawn or protected simulation-only items are excluded."
PRC-003,Practice,"Selection must consider mastery gap, difficulty fit, recency and exposure.","Optimize learning through controlled, evidence-driven selection rather than random item delivery.",High,Adaptive Practice; Question Bank; Mastery; Recommendation Engine; Examination Delivery,The selector records the factors and policy version used.
PRC-004,Practice,Randomness may vary eligible choices but must not replace academic selection rules.,"Optimize learning through controlled, evidence-driven selection rather than random item delivery.",High,Adaptive Practice; Question Bank; Mastery; Recommendation Engine; Examination Delivery,Random seed and selected set are persisted for reproducibility.
PRC-005,Practice,The selected item set becomes immutable when the session starts.,"Optimize learning through controlled, evidence-driven selection rather than random item delivery.",Critical,Adaptive Practice; Question Bank; Mastery; Recommendation Engine; Examination Delivery,Later question-bank changes do not alter an active session.
PRC-006,Practice,Practice must validate active enrollment and journey access.,"Optimize learning through controlled, evidence-driven selection rather than random item delivery.",Critical,Adaptive Practice; Question Bank; Mastery; Recommendation Engine; Examination Delivery,Unauthorized session creation or continuation is denied.
