event,producer,consumers,payload,business_significance
ScoreScaleChanged,Exam Product & Specification,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Notifies dependent domains that a material policy or state has changed.
SpecificationRetired,Exam Product & Specification,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Ends normal future use while retaining historical resolvability.
CompetencyFrameworkPublished,Competency Framework,Assessment Definition; Learning Content; Mastery; Question Bank,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Makes an approved immutable version eligible for governed use.
CompetencyMapped,Competency Framework,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Competency Framework fact so dependent domains can react without direct database coupling.
CompetencyRetired,Competency Framework,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Ends normal future use while retaining historical resolvability.
CourseCreated,Course & Offering,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Establishes a new canonical business object for downstream workflows.
CourseVersionPublished,Course & Offering,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Makes an approved immutable version eligible for governed use.
OfferingOpened,Course & Offering,Enrollment,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Course & Offering fact so dependent domains can react without direct database coupling.
OfferingClosed,Course & Offering,Enrollment,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Course & Offering fact so dependent domains can react without direct database coupling.
InstructorAssigned,Course & Offering,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Creates a scoped responsibility, entitlement or planned activity."
EnrollmentRequested,Enrollment,Academic Intelligence; Communication; Learning Workspace; Preparation Journey,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; enrollmentId; studentId; offeringId; previousState?; newState?; effectiveAt,Communicates a material Enrollment fact so dependent domains can react without direct database coupling.
EnrollmentActivated,Enrollment,Academic Intelligence; Communication; Exam Simulation; Goal Management; Learning Workspace; Preparation Journey; Student Relationship,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; enrollmentId; studentId; offeringId; previousState?; newState?; effectiveAt,Begins an authorized effective lifecycle state.
EnrollmentSuspended,Enrollment,Academic Intelligence; Communication; Examination Delivery; Learning Workspace; Preparation Journey,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; enrollmentId; studentId; offeringId; previousState?; newState?; effectiveAt,Blocks further activity while preserving history and opening operational follow-up.
EnrollmentTransferred,Enrollment,Academic Intelligence; Communication; Learning Workspace; Preparation Journey,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; enrollmentId; studentId; offeringId; previousState?; newState?; effectiveAt,Communicates a material Enrollment fact so dependent domains can react without direct database coupling.
EnrollmentCompleted,Enrollment,Academic Intelligence; Communication; Learning Workspace; Preparation Journey; Sponsor Relationship; Student Relationship,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; enrollmentId; studentId; offeringId; previousState?; newState?; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
EnrollmentExpired,Enrollment,Academic Intelligence; Communication; Learning Workspace; Preparation Journey,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; enrollmentId; studentId; offeringId; previousState?; newState?; effectiveAt,Communicates a material Enrollment fact so dependent domains can react without direct database coupling.
ExamGoalCreated,Goal Management,Exam Readiness; Preparation Journey; Recommendation Engine; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; goalId; goalVersionId; examProductVersionId; targetSummary; targetDate?,Establishes a new canonical business object for downstream workflows.
GoalActivated,Goal Management,Exam Readiness; Preparation Journey; Recommendation Engine; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; goalId; goalVersionId; examProductVersionId; targetSummary; targetDate?,Begins an authorized effective lifecycle state.
GoalRevised,Goal Management,Adaptive Practice; Diagnostic Assessment; Exam Readiness; Learning Path; Preparation Journey; Recommendation Engine; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; goalId; goalVersionId; examProductVersionId; targetSummary; targetDate?,Communicates a material Goal Management fact so dependent domains can react without direct database coupling.
GoalPaused,Goal Management,Exam Readiness; Preparation Journey; Recommendation Engine; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; goalId; goalVersionId; examProductVersionId; targetSummary; targetDate?,Communicates a material Goal Management fact so dependent domains can react without direct database coupling.
GoalAchieved,Goal Management,Exam Readiness; Preparation Journey; Recommendation Engine; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; goalId; goalVersionId; examProductVersionId; targetSummary; targetDate?,Communicates a material Goal Management fact so dependent domains can react without direct database coupling.
GoalClosed,Goal Management,Exam Readiness; Preparation Journey; Recommendation Engine; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; goalId; goalVersionId; examProductVersionId; targetSummary; targetDate?,Communicates a material Goal Management fact so dependent domains can react without direct database coupling.
JourneyCreated,Preparation Journey,Academic Intelligence; Diagnostic Assessment; Learning Workspace; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; journeyId; enrollmentId; goalVersionId; previousStage?; newStage?,Establishes a new canonical business object for downstream workflows.
JourneyStageChanged,Preparation Journey,Academic Intelligence; Learning Workspace; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; journeyId; enrollmentId; goalVersionId; previousStage?; newStage?,Notifies dependent domains that a material policy or state has changed.
JourneyPaused,Preparation Journey,Academic Intelligence; Learning Workspace; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; journeyId; enrollmentId; goalVersionId; previousStage?; newStage?,Communicates a material Preparation Journey fact so dependent domains can react without direct database coupling.
JourneyResumed,Preparation Journey,Academic Intelligence; Learning Workspace; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; journeyId; enrollmentId; goalVersionId; previousStage?; newStage?,Communicates a material Preparation Journey fact so dependent domains can react without direct database coupling.
JourneyCompleted,Preparation Journey,Academic Intelligence; Learning Workspace; Student Relationship; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; journeyId; enrollmentId; goalVersionId; previousStage?; newStage?,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
RetakePlanned,Preparation Journey,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Preparation Journey fact so dependent domains can react without direct database coupling.
DiagnosticAssigned,Diagnostic Assessment,Academic Evidence; Exam Readiness; Learning Path; Recommendation Engine,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; diagnosticAssignmentId; attemptId?; journeyId; coverageSummary?; confidence?,"Creates a scoped responsibility, entitlement or planned activity."
DiagnosticStarted,Diagnostic Assessment,Academic Evidence; Exam Readiness; Learning Path; Recommendation Engine,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; diagnosticAssignmentId; attemptId?; journeyId; coverageSummary?; confidence?,Marks the authoritative beginning of a timed or controlled business process.
DiagnosticCompleted,Diagnostic Assessment,Academic Evidence; Exam Readiness; Learning Path; Preparation Journey; Recommendation Engine,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; diagnosticAssignmentId; attemptId?; journeyId; coverageSummary?; confidence?,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
BaselineEstablished,Diagnostic Assessment,Learning Path,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Diagnostic Assessment fact so dependent domains can react without direct database coupling.
GapAnalysisProduced,Diagnostic Assessment,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Diagnostic Assessment fact so dependent domains can react without direct database coupling.
DiagnosticWaived,Diagnostic Assessment,Academic Evidence; Academic Intelligence; Academic Operations; Audit & Compliance; Exam Readiness; Learning Path; Recommendation Engine,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; diagnosticAssignmentId; attemptId?; journeyId; coverageSummary?; confidence?; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,Communicates a material Diagnostic Assessment fact so dependent domains can react without direct database coupling.
CurriculumPublished,Learning Content,Course & Offering,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Makes an approved immutable version eligible for governed use.
LessonReleased,Learning Content,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Makes an approved result, feedback or capability visible to its intended audience."
LearningActivityCompleted,Learning Content,Recommendation Engine,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
ResourceRetired,Learning Content,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Ends normal future use while retaining historical resolvability.
LearningPathGenerated,Learning Path,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Produces a governed derived object that must retain its policy and evidence provenance.
LearningPathAssigned,Learning Path,Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Creates a scoped responsibility, entitlement or planned activity."
PathStepUnlocked,Learning Path,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Learning Path fact so dependent domains can react without direct database coupling.
LearningPathRevised,Learning Path,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Learning Path fact so dependent domains can react without direct database coupling.
LearningPathCompleted,Learning Path,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
StudyPlanCreated,Study Planning,Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studyPlanId?; activityId?; journeyId; dueAt?; status?,Establishes a new canonical business object for downstream workflows.
StudyPlanActivated,Study Planning,Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studyPlanId?; activityId?; journeyId; dueAt?; status?,Begins an authorized effective lifecycle state.
StudyActivityScheduled,Study Planning,Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studyPlanId?; activityId?; journeyId; dueAt?; status?,Communicates a material Study Planning fact so dependent domains can react without direct database coupling.
StudyActivityMissed,Study Planning,Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studyPlanId?; activityId?; journeyId; dueAt?; status?,Communicates a material Study Planning fact so dependent domains can react without direct database coupling.
StudyPlanRevised,Study Planning,Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studyPlanId?; activityId?; journeyId; dueAt?; status?,Communicates a material Study Planning fact so dependent domains can react without direct database coupling.
StudyPlanCompleted,Study Planning,Achievement & Milestones; Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studyPlanId?; activityId?; journeyId; dueAt?; status?,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
WorkspaceActivated,Learning Workspace,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Begins an authorized effective lifecycle state.
WorkspaceCapabilityUnlocked,Learning Workspace,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Learning Workspace fact so dependent domains can react without direct database coupling.
NextActionPresented,Learning Workspace,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Learning Workspace fact so dependent domains can react without direct database coupling.
QuestionCreated,Question Bank,Academic Operations; Academic Publishing; Psychometrics & Item Quality,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; questionItemId; questionVersionId?; state; publicationPackageId?,Establishes a new canonical business object for downstream workflows.
QuestionSubmittedForReview,Question Bank,Academic Operations; Academic Publishing; Psychometrics & Item Quality,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; questionItemId; questionVersionId?; state; publicationPackageId?,Locks or accepts a business submission and starts downstream evaluation.
