Phase,Programme,Epic,Feature / Scope,Dependencies,Acceptance Criteria,Primary Risk,Deliverable
Phase 5,"Competency, Learning Paths & Question Bank",Question Bank,"Implement question versions, stimuli, answers, rubrics and publishing workflow.",Competencies and publishing,Published versions are immutable and answer keys isolated.,Question corruption,Governed item bank
Phase 6,Unified Examination Definition & Delivery,Assessment Definitions,"Implement blueprints, forms, sections, item pinning and publication manifests.",Question Bank,Forms pin exact approved versions.,Historical mismatch,Assessment design
Phase 6,Unified Examination Definition & Delivery,Delivery Kernel,"Implement eligibility, attempts, responses, autosave, timing and final submission.",Assessment definitions,Idempotent saves/submits and recovery tests pass.,Response loss,Reliable examination core
Phase 7,Adaptive Practice & Assessments,Adaptive Practice,"Implement candidate eligibility, exposure, difficulty and priority policies.",Mastery foundation and question bank,Selection is explainable and no protected item leakage occurs.,Pseudo-adaptive claims,Adaptive practice
Phase 7,Adaptive Practice & Assessments,Standard Assessments,"Implement scheduling, release and objective grading.",Delivery kernel,Assessment states and releases follow policy.,Premature result release,Assessment capability
Phase 8,Exam Simulation,Simulation Policy Packs,"Implement configurable exam-specific timing, sequence, tools and accommodations.",Exam specification and delivery kernel,Fidelity QA passes for each launch exam.,Exam-specific duplication,Simulation engine
Phase 8,Exam Simulation,Incident & Recovery,"Implement reconnect, incident capture, restart and invalidation workflows.",Simulation sessions,Disputed sessions have traceable evidence.,Exam integrity disputes,Operational resilience
Phase 9,AI Evaluation & Learning Assistance,AI Gateway & Registries,"Implement provider adapters, prompt/model versions, budgets and audit.",Platform foundation,No direct provider calls outside gateway.,Vendor lock-in and untracked cost,AI platform
Phase 9,AI Evaluation & Learning Assistance,Writing & Speaking Evaluation,"Implement async evaluation, confidence gates and human review.",Submission and grading,Benchmark thresholds and fallbacks pass.,Incorrect grading,Governed AI evaluation
Phase 9,AI Evaluation & Learning Assistance,"Tutor, Coach & Planner",Implement authorised-context assistant capabilities with assessment restrictions.,"Learning content, goals and plans",No hidden-answer or cross-student leakage.,Hallucination and integrity,AI learning support
Phase 10,"Readiness, Recommendations & Student Success",Academic Evidence & Mastery,Implement evidence ledger and versioned mastery calculations.,All academic activity domains,Evidence retains provenance and confidence.,Untraceable scores,Academic intelligence foundation
Phase 10,"Readiness, Recommendations & Student Success",Exam Readiness,Implement product-specific prediction and confidence.,Mastery and simulations,Insufficient evidence is explicit and historical snapshots preserved.,False certainty,Readiness capability
Phase 10,"Readiness, Recommendations & Student Success",Recommendations & Interventions,Implement next-best activity and student-success cases.,"Readiness, plans and content",Recommendations are explainable and outcomes measured.,Opaque automation,Personalised progression
Phase 11,"Migration, Hardening & Launch",Legacy Migration,"Inventory, transform, reconcile and cut over V1 data.",All target domains stable,"Record counts, relationships and academic results reconcile.",Data loss,V2 migrated data
Phase 11,"Migration, Hardening & Launch",Production Hardening,"Complete load, security, accessibility, disaster recovery and operations testing.",All capabilities,All critical quality gates pass.,Launch instability,Production readiness
Phase 11,"Migration, Hardening & Launch",Controlled Cutover,"Pilot academies, feature flags, support readiness and rollback.",Hardening,Launch can be halted or reversed safely.,Irreversible cutover,Production launch
