Domain,Accountable Engineering Team,Business Owner,Responsibilities,Allowed Dependencies,Forbidden Dependencies,Escalation Path
Diagnostic Assessment,Assessment Science Engineering,Assessment Science Team,Diagnostic blueprints; assignment; baseline tests; placement; confidence; gap reports; retest and waiver policies.,Assessment Definition; Examination Delivery; Competency Framework; Academic Evidence.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Learning Content,Learning Content Engineering,Academic Content Team,Curriculum versions; modules; lessons; learning objectives; prerequisites; resources; release rules; completion evidence.,Course & Offering; Competency Framework; Academic Publishing; File & Media.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Learning Path,Personalization Engineering,Personalization Team / Academic Design,Path templates; path generation; prerequisites; remediation and acceleration branches; step status; path revision.,Diagnostic Assessment; Goal Management; Learning Content; Competency Framework; Mastery.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
File & Media,Media Platform Engineering,Platform Media & Security Team,Asset registration; signed upload/delivery authorization; quarantine; malware scanning; media metadata; derivatives; lifecycle; ownership references; retention and disposal.,Identity & Access; Academy; Platform Operations; Audit & Compliance.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Study Planning,Personalization Engineering,Student Success Product Team,Weekly plans; activity scheduling; workload constraints; replanning; adherence; catch-up periods.,Learning Path; Goal Management; Recommendation Engine; Course & Offering.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Learning Workspace,Learning Experience Engineering,Student Experience Team,Workspace context; capability resolution; navigation; action queue; cross-domain read projections; workspace preferences.,Enrollment; Preparation Journey; Learning Content; Study Planning; Recommendation Engine; Exam Readiness.,"Owning grades, attempts, readiness, recommendations or course content",Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Question Bank,Assessment Content Engineering,Assessment Content Team,Question identity and versions; stimuli; answer definitions; options; taxonomy; exposure; authoring and review.,Competency Framework; Academic Publishing; File & Media; Psychometrics.,Editing published question versions in place,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Academic Publishing,Academic Publishing Engineering,Academic Quality Assurance,Publication workflows; reviewer assignments; quality gates; immutable manifests; emergency withdrawal; correction impact.,Question Bank; Learning Content; Assessment Definition; Exam Simulation; AI Academic Intelligence.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Adaptive Practice,Practice Engineering,Personalization & Assessment Science,Practice policies; candidate pools; adaptive selection; session assembly; feedback policies; exposure control.,Question Bank; Competency Framework; Mastery; Goal Management; Academic Evidence.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Assessment Definition,Assessment Definition Engineering,Assessment Design Team,Definitions; versions; blueprints; forms; sections; scoring; timing; release policies; attempt rules.,Exam Product & Specification; Competency Framework; Question Bank; Academic Publishing.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Exam Simulation,Exam Experience Engineering,Exam Experience Team,Simulation policies; section orchestration; breaks; tools; adaptive routing; accommodations; fidelity validation; incidents.,Exam Product & Specification; Assessment Definition; Examination Delivery; File & Media.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Backend Architect → Engineering Review Board
Examination Delivery,Examination Platform Engineering,Examination Platform Team,Deliveries; eligibility; attempts; section runs; response autosave; timer authority; final submission; recovery.,Enrollment; Assessment Definition; Exam Simulation; Identity & Access.,Using browser time as authoritative exam time,Domain Tech Lead → Principal Backend Architect → Engineering Review Board
Submission & Grading,Grading Platform Engineering,Assessment Operations / Grading Team,Submission normalization; objective scoring; AI grading orchestration; instructor review; override; grade release; appeal.,Examination Delivery; Question Bank; AI Academic Intelligence; Academic Publishing.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Backend Architect → Engineering Review Board
Academic Evidence,Academic Intelligence Platform Engineering,Academic Intelligence Platform,Evidence normalization; source classification; skill linkage; reliability; recency; provenance; supersession.,Competency Framework; Examination Delivery; Submission & Grading; Learning Content.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Mastery,Mastery & Readiness Engineering,Assessment Science / Academic Intelligence,Mastery models; estimates; confidence; coverage; recency; histories; contradictory evidence handling.,Academic Evidence; Competency Framework; Psychometrics.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → AI/Assessment Governance Lead → Architecture Governance Board
Exam Readiness,Mastery & Readiness Engineering,Assessment Science / Product Analytics,Readiness models; predicted score range; target gap; confidence; readiness state; estimated ready date; history.,Goal Management; Mastery; Exam Simulation; Academic Evidence; Study Planning.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → AI/Assessment Governance Lead → Architecture Governance Board
Recommendation Engine,Recommendation Engineering,Personalization Team,Candidate generation; eligibility; ranking; explanation; diversity; expiry; response and outcome tracking.,Learning Path; Study Planning; Mastery; Exam Readiness; Adaptive Practice; Learning Content.,Using an LLM as the sole eligibility or ranking authority,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
AI Academic Intelligence,AI Engineering,AI Engineering & Academic Governance,AI gateway; model and prompt registry; evaluators; tutor; coach; planner; predictor; evaluation datasets; cost and safety.,Submission & Grading; Learning Content; Recommendation Engine; Exam Readiness; Audit & Compliance.,Writing final grades or readiness directly without governed domain commands,Domain Tech Lead → AI/Assessment Governance Lead → Architecture Governance Board
Student Success,Student Success Engineering,Student Success Team,Engagement health; consistency; trajectory; intervention rules; cases; owner assignment; action plans; outcomes.,Preparation Journey; Study Planning; Exam Readiness; Communication; Academic Intelligence.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Achievement & Milestones,Engagement Engineering,Student Experience / Student Success,Achievement definitions; eligibility rules; awards; revocation; milestone display.,Student Success; Academic Evidence; Exam Readiness; Study Planning.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Psychometrics & Item Quality,Psychometrics Engineering,Assessment Science Team,Difficulty; discrimination; distractor analysis; exposure; timing; form reliability; pilot analysis; retirement recommendations.,Question Bank; Examination Delivery; Assessment Definition; Academic Intelligence.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → AI/Assessment Governance Lead → Architecture Governance Board
Academic Intelligence,Analytics Engineering,Academic Analytics Team,Metric definitions; cohort analysis; course effectiveness; readiness distribution; AI agreement; instructor impact; target achievement.,Academic Evidence; Mastery; Exam Readiness; Psychometrics; Student Success; Submission & Grading.,Becoming the transactional source of truth,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Academic Operations,Academic Operations Engineering,Head of Academic Operations,Work queues; assignments; SLAs; incident coordination; publishing calendar; live assessment monitoring.,Academic Publishing; Examination Delivery; Submission & Grading; Student Success; Platform Operations.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Communication,Communications Engineering,Product Operations,Announcements; templates; preferences; channel selection; delivery; retries; opt-out; mandatory security notices.,Identity & Access; Academy; Student Success; Audit & Compliance.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Audit & Compliance,Security & Compliance Engineering,Security & Compliance,Audit ledger; security events; access logs; retention; legal hold; export; tamper detection.,Platform Operations.,"Storing secrets, answer keys or full student submissions in audit payloads",Security Lead → Chief Software Engineer → Architecture Governance Board
Integration,Integration Engineering,Integration Engineering,External mappings; webhooks; import/export; provider credentials; retries; provenance; reconciliation.,Identity & Access; Exam Product & Specification; Communication; AI Academic Intelligence; Audit & Compliance.,Persisting external identifiers as canonical business identity,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Platform Operations,Site Reliability Engineering,DevOps / Site Reliability Engineering,Environment configuration; feature flags; health; queues; backups; restore; capacity; incident response; service identities.,Identity & Access; Audit & Compliance.,Changing academic policy through infrastructure configuration,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
